,Item,Pronunciation,Phonology,Frequency,Length
1254,ballad,B AE L AH D,bAlxd,1.41,5
1255,ballast,B AE L IH S T,bAlIst,1.18,6
1256,ballerina,B AE L AH R IY N AH,bAlxrinx,2.31,8
1257,ballet,B AE L EY,bAle,10.25,4
1258,ballistic,B AH L IH S T IH K,bxlIstIk,1.16,8
1259,ballistics,B AH L IH S T IH K S,bxlIstIks,2.35,9
1260,balloon,B AH L UW N,bxlun,8.67,5
1261,ballot,B AE L IH T,bAlIt,1.35,5
1262,ballplayer,B AO L P L EY AH R,bclplexr,0.63,8
1263,ballroom,B AO L R UW M,bclrum,4.31,6
1264,ballyhoo,B AE L IY HH UW,bAlihu,0.1,6
1265,balmy,B AA M IY,bami,0.57,4
1266,balsam,B AO L S AH M,bclsxm,0.16,6
1267,ban,B AE N,bAn,3.14,3
1268,banal,B IH N AE L,bInAl,0.27,5
1269,banana,B IH N AE N AH,bInAnx,10.73,6
1270,band,B AE N D,bAnd,53.41,4
1271,bandage,B AE N D IH JH,bAndIJ,2.86,6
1272,bandit,B AE N D IH T,bAndIt,3.75,6
1273,bandoleer,B AE N D AH L IH R,bAndxlIr,0.06,8
1274,bandstand,B AE N D S T AE N D,bAndstAnd,0.8,9
1275,bandwagon,B AE N D W AE G IH N,bAndwAgIn,0.47,9
1276,bandwidth,B AE N D W IH D TH,bAndwIdT,0.49,8
1277,baneful,B EY N F AH L,benfxl,0.02,6
1278,bang,B AE NG,bAG,19.98,3
1279,banging,B AE NG IH NG,bAGIG,8.55,5
1280,bangle,B AE NG G AH L,bAGgxl,0.1,6
1281,banish,B AE N IH SH,bAnIS,1.35,5
1282,banishment,B AE N IH SH M AH N T,bAnISmxnt,0.2,9
1283,banister,B AE N IH S T AH R,bAnIstxr,1.31,8
1284,banjo,B AE N JH OW,bAnJo,1.63,5
1285,bank,B AE NG K,bAGk,84.98,4
1286,banker,B AE NG K AH R,bAGkxr,4.76,6
1287,bankrupt,B AE NG K R AH P T,bAGkrxpt,2.8,8
1288,bankruptcy,B AE NG K R AH P T S IY,bAGkrxptsi,2.37,10
1289,banner,B AE N AH R,bAnxr,5.92,5
1290,banning,B AE N IH NG,bAnIG,1.04,5
1291,banquet,B AE NG K W AH T,bAGkwxt,5.16,7
1292,banshee,B AE N SH IY,bAnSi,1.12,5
1293,banter,B AE N T AH R,bAntxr,1.37,6
1294,baptism,B AE P T IH Z AH M,bAptIzxm,1.2,8
1295,baptismal,B AE P T IH Z M AH L,bAptIzmxl,0.12,9
1296,baptist,B AE P T IH S T,bAptIst,2.31,7
1297,baptize,B AE P T AY Z,bAptYz,0.73,6
1298,bar,B AA R,bar,85.98,3
1299,barb,B AA R B,barb,2.31,4
1300,barbarian,B AA R B EH R IY AH N,barbErixn,1.8,9
1301,barbaric,B AA R B AE R IH K,barbArIk,1.41,8
1302,barbarous,B AA R B AH R AH S,barbxrxs,0.22,8
1303,barbecue,B AA R B IH K Y UW,barbIkyu,8.94,8
1304,barbed,B AA R B D,barbd,1.31,5
1305,barbell,B AA R B EH L,barbEl,0.35,6
1306,barber,B AA R B AH R,barbxr,5.47,6
1307,barbiturate,B AA R B IH CH AH R IH T,barbICxrIt,0.04,10
1308,bard,B AA R D,bard,0.8,4
1313,barefoot,B AE R F UH T,bArfUt,2.37,6
1314,barefooted,B AE R F UH T IH D,bArfUtId,0.18,8
1315,barely,B AE R L IY,bArli,29.06,5
1316,barest,B EH R AH S T,bErxst,0.1,6
1317,bargain,B AA R G IH N,bargIn,12.0,6
1318,bargaining,B AA R G IH N IH NG,bargInIG,2.08,8
1319,barge,B AA R JH,barJ,3.88,4
1320,baritone,B AE R AH T OW N,bArxton,0.41,7
1321,barium,B AE R IY AH M,bArixm,0.45,6
1322,bark,B AA R K,bark,5.49,4
1323,barkeep,B AA R K IY P,barkip,0.98,6
1324,barking,B AA R K IH NG,barkIG,9.0,6
1325,barley,B AA R L IY,barli,0.9,5
1326,barn,B AA R N,barn,13.59,4
1327,barnstormer,B AA R N S T AO R M AH R,barnstcrmxr,0.04,11
1328,barnyard,B AA R N Y AA R D,barnyard,0.88,8
1329,barometric,B AE R AH M EH T R IH K,bArxmEtrIk,0.24,10
1334,baroness,B AE R AH N IH S,bArxnIs,2.63,7
1335,baronial,B AH R OW N IY AH L,bxronixl,0.06,8
1336,barony,B AE R AH N IY,bArxni,0.04,6
1337,baroque,B AH R OW K,bxrok,0.31,5
1338,barrack,B AE R AH K,bArxk,0.35,5
1339,barrage,B AH R AA JH,bxraJ,1.04,5
1340,barrel,B AE R AH L,bArxl,10.63,5
1345,barricade,B AE R AH K EY D,bArxked,1.47,7
1346,barrier,B AE R IY AH R,bArixr,3.39,6
1347,bartender,B AA R T EH N D AH R,bartEndxr,9.76,9
1348,base,B EY S,bes,35.37,3
1349,baseball,B EY S B AO L,besbcl,25.25,6
1350,baseless,B EY S L IH S,beslIs,0.33,6
1351,baseline,B EY S L AY N,beslYn,0.75,6
1352,baseman,B EY S M AH N,besmxn,0.59,6
1353,basement,B EY S M AH N T,besmxnt,21.06,7
1354,baser,B EY S AH R,besxr,0.14,5
1355,bashful,B AE SH F AH L,bASfxl,1.24,6
1356,basic,B EY S IH K,besIk,15.57,5
1357,basically,B EY S IH K L IY,besIkli,26.02,7
1358,basics,B EY S IH K S,besIks,2.24,6
1359,basin,B EY S AH N,besxn,1.88,5
1360,basis,B EY S IH S,besIs,11.94,5
1361,bask,B AE S K,bAsk,0.57,4
1362,basket,B AE S K IH T,bAskIt,13.18,6
1363,basketball,B AE S K IH T B AO L,bAskItbcl,21.39,9
1364,basophilic,B EY S AH F IH L IH K,besxfIlIk,0.02,9
1365,bass,B AE S,bAs,7.55,3
1366,bassinet,B AE S AH N EH T,bAsxnEt,0.35,7
1367,basso,B AE S OW,bAso,0.12,4
1368,bastard,B AE S T AH R D,bAstxrd,65.65,7
1369,baste,B EY S T,best,0.35,4
1370,bastion,B AE S CH IH N,bAsCIn,0.35,6
1371,bat,B AE T,bAt,20.63,3
1372,batch,B AE CH,bAC,4.16,3
1373,bath,B AE TH,bAT,31.12,3
1374,bathe,B EY DH,beD,2.51,3
1375,bather,B AE DH AH R,bADxr,0.06,5
1376,bathrobe,B AE TH R OW B,bATrob,1.67,6
1377,bathroom,B AE TH R UW M,bATrum,61.67,6
1378,bathtub,B AE TH T AH B,bATtxb,6.1,6
1379,baton,B AH T AA N,bxtan,2.84,5
1380,battalion,B AH T AE L Y AH N,bxtAlyxn,5.84,8
1381,batten,B AE T AH N,bAtxn,0.43,5
1382,batter,B AE T AH R,bAtxr,3.98,5
1383,battery,B AE T AH R IY,bAtxri,12.41,6
1384,battle,B AE T AH L,bAtxl,42.25,5
1385,battlefield,B AE T AH L F IY L D,bAtxlfild,3.24,9
1386,battlefront,B AE T AH L F R AH N T,bAtxlfrxnt,0.08,10
1387,battleground,B AE T AH L G R AW N D,bAtxlgrWnd,0.47,10
1388,battlement,B AE T AH L M EH N T,bAtxlmEnt,0.16,9
1389,bauble,B AO B AH L,bcbxl,0.43,5
1390,bawdy,B AO D IY,bcdi,0.18,4
1395,bay,B EY,be,24.24,2
1396,baying,B EY IH NG,beIG,0.25,4
1397,bayonet,B EY AH N EH T,bexnEt,1.57,6
1415,beachhead,B IY CH HH EH D,biChEd,0.63,6
1416,beacon,B IY K IH N,bikIn,3.86,5
1417,bead,B IY D,bid,1.12,3
1418,beadle,B IY D AH L,bidxl,0.02,5
1419,beady,B IY D IY,bidi,0.71,4
1420,beaker,B IY K AH R,bikxr,0.43,5
1421,beam,B IY M,bim,8.73,3
1422,bean,B IY N,bin,6.84,3
1427,beard,B IH R D,bIrd,12.61,4
1428,bearded,B IH R D IH D,bIrdId,1.27,6
1429,beardless,B IH R D L IH S,bIrdlIs,0.16,7
1430,bearer,B AE R AH R,bArxr,1.8,5
1431,bearing,B AE R IH NG,bArIG,9.53,5
1432,bearish,B AE R IH SH,bArIS,0.04,5
1433,beast,B IY S T,bist,24.55,4
1438,beatific,B IY AH T IH F IH K,bixtIfIk,0.06,8
1439,beating,B IY T IH NG,bitIG,22.75,5
1440,beatnik,B IY T N IH K,bitnIk,0.63,6
1445,beauteous,B Y UW T IY AH S,byutixs,0.27,7
1446,beautiful,B Y UW T IH F AH L,byutIfxl,279.73,8
1447,beautifully,B Y UW T AH F AH L L IY,byutxfxlli,7.0,10
1448,beautify,B Y UW T IH F AY,byutIfY,0.16,7
1449,beauty,B Y UW T IY,byuti,48.24,5
1450,beaver,B IY V AH R,bivxr,4.82,5
1451,bebop,B IY B AA P,bibap,0.41,5
1452,because,B AH K AO Z,bxkcz,1071.02,5
1453,beckon,B EH K IH N,bEkIn,0.2,5
1454,beckoning,B EH K AH N IH NG,bEkxnIG,0.31,7
1455,become,B AH K AH M,bxkxm,115.57,5
1456,becoming,B IH K AH M IH NG,bIkxmIG,22.88,7
1457,bed,B EH D,bEd,187.12,3
1458,bedbug,B EH D B AH G,bEdbxg,0.29,6
1459,bedding,B EH D IH NG,bEdIG,0.75,5
1460,bedlam,B EH D L AH M,bEdlxm,1.22,6
1461,bedpost,B EH D P OW S T,bEdpost,0.31,7
1462,bedraggled,B IH D R AE G AH L D,bIdrAgxld,0.04,9
1463,bedridden,B EH D R IH D AH N,bEdrIdxn,0.33,8
1464,bedroom,B EH D R UW M,bEdrum,36.71,6
1465,bedside,B EH D S AY D,bEdsYd,1.92,6
1466,bedspread,B EH D S P R EH D,bEdsprEd,0.45,8
1467,bedtime,B EH D T AY M,bEdtYm,6.2,6
1481,beef,B IY F,bif,19.71,3
1482,beefsteak,B IY F S T EY K,bifstek,0.73,7
1483,beefy,B IY F IY,bifi,0.31,4
1484,beehive,B IY HH AY V,bihYv,0.86,5
1485,beep,B IY P,bip,6.51,3
1486,beer,B IH R,bIr,75.49,3
1491,beetle,B IY T AH L,bitxl,2.06,5
1492,befall,B AH F AO L,bxfcl,0.59,5
1493,before,B AH F OW R,bxfor,794.14,5
1494,befoul,B AH F AW L,bxfWl,0.04,5
1495,beg,B EH G,bEg,50.98,3
1496,beget,B AH G EH T,bxgEt,0.31,5
1497,beggar,B EH G AH R,bEgxr,2.47,5
1498,beggary,B EH G AH R IY,bEgxri,0.02,6
1499,begging,B EH G IH NG,bEgIG,15.02,5
1500,begin,B AH G IH N,bxgIn,56.98,5
1501,beginner,B IH G IH N AH R,bIgInxr,1.94,7
1502,beginning,B IH G IH N IH NG,bIgInIG,63.12,7
1503,begrudge,B IH G R AH JH,bIgrxJ,0.47,6
1504,beguile,B IH G AY L,bIgYl,0.2,5
1505,beguiling,B IH G AY L IH NG,bIgYlIG,0.16,7
1506,behalf,B IH HH AE F,bIhAf,12.16,5
1507,behave,B IH HH EY V,bIhev,16.24,5
1508,behavior,B IH HH EY V Y AH R,bIhevyxr,22.39,8
1509,behavioral,B IY HH EY V Y AH R AH L,bihevyxrxl,1.55,10
1510,behead,B IH HH EH D,bIhEd,0.18,5
1511,behind,B IH HH AY N D,bIhYnd,187.86,6
1512,behold,B IH HH OW L D,bIhold,5.94,6
1513,behoove,B IH HH UW V,bIhuv,0.29,5
1514,beige,B EY ZH,beZ,1.35,3
1515,being,B IY IH NG,biIG,485.9,4
1525,belabor,B AH L EY B AH R,bxlebxr,0.06,7
1526,belaboring,B IH L EY B AH R IH NG,bIlebxrIG,0.02,9
1527,belated,B IH L EY T IH D,bIletId,0.43,7
1528,belch,B EH L CH,bElC,0.73,4
1529,belching,B EH L CH IH NG,bElCIG,0.31,6
1530,belfry,B EH L F R IY,bElfri,0.25,6
1531,belie,B AH L AY,bxlY,0.18,4
1532,belief,B AH L IY F,bxlif,7.61,5
1533,believable,B AH L IY V AH B AH L,bxlivxbxl,1.41,9
1534,believe,B AH L IY V,bxliv,625.14,5
1535,believer,B AH L IY V AH R,bxlivxr,3.41,7
1536,belittle,B IH L IH T AH L,bIlItxl,0.73,7
1546,bellboy,B EH L B OY,bElbO,1.24,5
1556,bellhop,B EH L HH AA P,bElhap,0.67,6
1557,belligerence,B AH L IH JH AH R AH N S,bxlIJxrxns,0.02,10
1558,belligerent,B AH L IH JH AH R AH N T,bxlIJxrxnt,0.65,10
1559,bellow,B EH L OW,bElo,0.45,4
1560,bellwether,B EH L W EH DH AH R,bElwEDxr,0.18,8
1561,belly,B EH L IY,bEli,15.57,4
1562,belong,B AH L AO NG,bxlcG,44.37,5
1563,belonging,B IH L AO NG IH NG,bIlcGIG,2.06,7
1564,beloved,B IH L AH V IH D,bIlxvId,12.76,7
1569,belt,B EH L T,bElt,24.35,4
1570,belting,B EH L T IH NG,bEltIG,0.1,6
1571,bemoan,B IH M OW N,bImon,0.02,5
1572,bench,B EH N CH,bEnC,9.67,4
1573,benchmark,B EH N CH M AA R K,bEnCmark,0.06,8
1574,bend,B EH N D,bEnd,15.06,4
1575,bending,B EH N D IH NG,bEndIG,2.39,6
1576,beneath,B IH N IY TH,bIniT,11.63,5
1577,benediction,B EH N AH D IH K SH IH N,bEnxdIkSIn,0.25,10
1578,benefactor,B EH N AH F AE K T AH R,bEnxfAktxr,1.69,10
1579,beneficence,B AH N EH F AH S IH N S,bxnEfxsIns,0.02,10
1580,beneficent,B AH N EH F IH S AH N T,bxnEfIsxnt,0.1,10
1581,beneficial,B EH N AH F IH SH AH L,bEnxfISxl,0.78,9
1582,beneficiary,B EH N AH F IH SH IY EH R IY,bEnxfISiEri,1.35,11
1583,benefit,B EH N AH F IH T,bEnxfIt,14.35,7
1584,benevolence,B IH N EH V AH L AH N S,bInEvxlxns,0.41,10
1585,benevolent,B AH N EH V AH L AH N T,bxnEvxlxnt,0.73,10
1586,benighted,B IY N AY T IH D,binYtId,0.1,7
1587,benign,B IH N AY N,bInYn,1.14,5
1588,bent,B EH N T,bEnt,7.22,4
1589,benzene,B EH N Z IY N,bEnzin,0.43,6
1590,bequeath,B IH K W IY TH,bIkwiT,0.84,6
1591,bequest,B IH K W EH S T,bIkwEst,0.2,7
1592,berate,B IH R EY T,bIret,0.25,5
1593,bereavement,B AH R IY V M AH N T,bxrivmxnt,0.45,9
1594,bereft,B IH R EH F T,bIrEft,0.29,6
1595,berg,B AH R G,bxrg,1.55,4
1596,beriberi,B EH R IY B EH R IY,bEribEri,0.12,8
1605,beryllium,B AH R IH L IY AH M,bxrIlixm,0.49,8
1606,beseech,B IH S IY CH,bIsiC,1.55,5
1607,beset,B IH S EH T,bIsEt,0.27,5
1608,beside,B IH S AY D,bIsYd,15.18,5
1609,besides,B IH S AY D Z,bIsYdz,84.86,6
1610,besiege,B IH S IY JH,bIsiJ,0.27,5
1611,besmirch,B IH S M AH R CH,bIsmxrC,0.29,7
1612,bespeak,B IH S P IY K,bIspik,0.14,6
1613,bespectacled,B IH S P EH K T AH K AH L D,bIspEktxkxld,0.02,12
1614,best,B EH S T,bEst,404.37,4
1615,bestial,B EH S CH AH L,bEsCxl,0.14,6
1616,bestow,B IH S T OW,bIsto,1.1,5
1617,bestseller,B EH S EH L AH R,bEsElxr,0.69,7
1618,bet,B EH T,bEt,171.82,3
1619,bethink,B IY TH IH NG K,biTIGk,0.08,6
1620,betide,B IH T AY D,bItYd,0.18,5
1621,betray,B IH T R EY,bItre,9.14,5
1622,betrayal,B IH T R EY AH L,bItrexl,4.24,7
1623,betrothal,B IH T R OW DH AH L,bItroDxl,0.22,8
1624,better,B EH T AH R,bEtxr,794.0,5
1625,betterment,B EH T AH R M AH N T,bEtxrmxnt,0.25,9
1626,betting,B EH T IH NG,bEtIG,8.43,5
1627,betty,B EH T IY,bEti,24.43,4
1628,between,B AH T W IY N,bxtwin,175.14,6
1629,bevel,B EH V AH L,bEvxl,0.08,5
1630,beveling,B EH V AH L IH NG,bEvxlIG,0.06,7
1631,beverage,B EH V R IH JH,bEvrIJ,2.33,6
1632,bevy,B EH V IY,bEvi,0.2,4
1633,beware,B IH W AE R,bIwAr,5.73,5
1634,bewilder,B IH W IH L D AH R,bIwIldxr,0.04,8
1635,bewilderment,B IH W IH L D AH R M AH N T,bIwIldxrmxnt,0.08,12
1636,bewitch,B IH W IH CH,bIwIC,0.12,5
1637,beyond,B IY AA N D,biand,43.14,5
1638,bias,B AY AH S,bYxs,1.61,4
1639,bib,B IH B,bIb,0.49,3
1640,bible,B AY B AH L,bYbxl,18.33,5
1641,bibliography,B IH B L IY AA G R AH F IY,bIbliagrxfi,0.06,11
1642,bicarbonate,B AY K AA R B AH N IH T,bYkarbxnIt,0.73,10
1643,biceps,B AY S EH P S,bYsEps,0.94,6
1644,bicker,B IH K AH R,bIkxr,0.49,5
1645,bickering,B IH K AH R IH NG,bIkxrIG,1.37,7
1646,bicycle,B AY S IH K AH L,bYsIkxl,6.61,7
1647,bid,B IH D,bId,12.59,3
1648,bidder,B IH D AH R,bIdxr,1.73,5
1649,bidding,B IH D IH NG,bIdIG,4.59,5
1650,biddy,B IH D IY,bIdi,0.24,4
1651,bide,B AY D,bYd,0.55,3
1652,biennial,B AY EH N IY AH L,bYEnixl,0.02,7
1653,bifocal,B AY F OW K AH L,bYfokxl,0.02,7
1654,big,B IH G,bIg,682.82,3
1655,bigger,B IH G AH R,bIgxr,54.22,5
1656,biggest,B IH G AH S T,bIgxst,40.88,6
1657,bigot,B IH G IH T,bIgIt,0.61,5
1658,bigoted,B IH G AH T IH D,bIgxtId,0.2,7
1659,bigotry,B IH G AH T R IY,bIgxtri,0.67,7
1660,bikini,B AH K IY N IY,bxkini,3.69,6
1661,bilateral,B AY L AE T AH R AH L,bYlAtxrxl,0.59,9
1662,bile,B AY L,bYl,0.78,3
1663,bilge,B IH L JH,bIlJ,1.1,4
1664,bilingual,B AY L IH NG G W AH L,bYlIGgwxl,0.37,9
1665,bilk,B IH L K,bIlk,0.1,4
1666,bill,B IH L,bIl,118.45,3
1667,billboard,B IH L B OW R D,bIlbord,1.35,7
1668,billet,B IH L IH T,bIlIt,0.33,5
1669,billiard,B IH L Y AH R D,bIlyxrd,0.82,7
1670,billing,B IH L IH NG,bIlIG,1.98,5
1671,billion,B IH L Y AH N,bIlyxn,11.14,6
1676,bimonthly,B AY M AH N TH L IY,bYmxnTli,0.18,8
1677,bin,B IH N,bIn,5.37,3
1678,bind,B AY N D,bYnd,3.35,4
1679,binder,B IH N D AH R,bIndxr,0.76,6
1680,binding,B AY N D IH NG,bYndIG,2.18,6
1681,bindle,B IH N D AH L,bIndxl,0.22,6
1682,binge,B IH N JH,bInJ,0.92,4
1683,binoculars,B AH N AA K Y AH L AH R Z,bxnakyxlxrz,1.57,11
1684,binomial,B AY N OW M IY AH L,bYnomixl,0.04,8
1685,biochemical,B AY OW K EH M IH K AH L,bYokEmIkxl,0.75,10
1686,biographer,B AY AA G R AH F AH R,bYagrxfxr,0.43,9
1687,biographical,B AY AH G R AE F IH K AH L,bYxgrAfIkxl,0.24,11
1688,biography,B AY AA G R AH F IY,bYagrxfi,1.47,8
1689,biologic,B AY AH L AA JH IH K,bYxlaJIk,0.14,8
1690,biological,B AY AH L AA JH IH K AH L,bYxlaJIkxl,5.88,10
1691,biologist,B AY AA L AH JH IH S T,bYalxJIst,1.25,9
1692,biology,B AY AA L AH JH IY,bYalxJi,4.9,7
1693,biophysicist,B AY OW F IH Z IH S IH S T,bYofIzIsIst,0.02,11
1694,biopsy,B AY AA P S IY,bYapsi,1.55,6
1695,bipartisan,B AY P AA R T IH Z IH N,bYpartIzIn,0.08,10
1696,biplane,B AY P L EY N,bYplen,0.04,6
1697,biracial,B AY R EY SH AH L,bYreSxl,0.18,7
1698,birch,B AH R CH,bxrC,1.55,4
1699,bird,B AH R D,bxrd,45.45,4
1700,birdbath,B AH R D B AE TH,bxrdbAT,0.2,7
1701,birdie,B AH R D IY,bxrdi,4.96,5
1702,birefringence,B AY R IH F R IH N JH AH N S,bYrIfrInJxns,0.02,12
1707,birthday,B AH R TH D EY,bxrTde,97.22,6
1708,birthplace,B AH R TH P L EY S,bxrTples,0.8,8
1709,birthright,B AH R TH R AY T,bxrTrYt,0.9,7
1710,biscuit,B IH S K IH T,bIskIt,3.75,6
1711,bishop,B IH SH AH P,bISxp,16.76,5
1712,bison,B AY S AH N,bYsxn,0.33,5
1713,bisque,B IH S K,bIsk,0.39,4
1714,bit,B IH T,bIt,235.04,3
1715,bitch,B IH CH,bIC,168.8,3
1716,bite,B AY T,bYt,40.78,3
1717,biter,B AY T AH R,bYtxr,0.57,5
1718,bitter,B IH T AH R,bItxr,11.14,5
1719,bitterest,B IH T AH R AH S T,bItxrxst,0.08,8
1720,bitterly,B IH T AH R L IY,bItxrli,0.76,7
1721,bitterness,B IH T AH R N AH S,bItxrnxs,1.41,8
1722,bitters,B IH T AH R Z,bItxrz,0.35,6
1723,bittersweet,B IH T AH R S W IY T,bItxrswit,0.45,9
1724,bivouac,B IH V W AE K,bIvwAk,0.2,6
1725,biz,B IH Z,bIz,1.86,3
1730,blab,B L AE B,blAb,0.57,4
1731,black,B L AE K,blAk,167.94,4
1732,blackberry,B L AE K B EH R IY,blAkbEri,0.75,8
1733,blackbird,B L AE K B AH R D,blAkbxrd,0.82,8
1734,blackboard,B L AE K B OW R D,blAkbord,1.18,8
1735,blacken,B L AE K IH N,blAkIn,0.39,6
1736,blackest,B L AE K AH S T,blAkxst,0.31,7
1737,blacking,B L AE K IH NG,blAkIG,0.51,6
1738,blackjack,B L AE K JH AE K,blAkJAk,4.08,7
1739,blackmail,B L AE K M EY L,blAkmel,7.73,7
1740,blackmailer,B L AE K M AE L AH R,blAkmAlxr,1.06,9
1741,blackness,B L AE K N IH S,blAknIs,0.88,7
1742,blackout,B L AE K AW T,blAkWt,4.41,6
1743,blacksmith,B L AE K S M IH TH,blAksmIT,2.1,8
1744,blade,B L EY D,bled,13.0,4
1745,blame,B L EY M,blem,58.78,4
1754,bland,B L AE N D,blAnd,1.08,5
1755,blandly,B L AE N D L IY,blAndli,0.02,7
1756,blandness,B L AE N D N AH S,blAndnxs,0.1,8
1757,blank,B L AE NG K,blAGk,9.71,5
1758,blanket,B L AE NG K IH T,blAGkIt,12.98,7
1759,blare,B L AE R,blAr,0.39,4
1760,blaspheme,B L AE S F IY M,blAsfim,0.27,7
1761,blasphemous,B L AE S F AH M AH S,blAsfxmxs,0.43,9
1762,blasphemy,B L AE S F AH M IY,blAsfxmi,1.47,8
1763,blast,B L AE S T,blAst,16.18,5
1764,blatant,B L EY T AH N T,bletxnt,1.14,7
1765,blaze,B L EY Z,blez,2.1,4
1766,blazer,B L EY Z AH R,blezxr,1.22,6
1767,blazon,B L EY Z AH N,blezxn,0.02,6
1768,bleach,B L IY CH,bliC,2.31,4
1769,bleacher,B L IY CH AH R,bliCxr,0.06,6
1770,bleak,B L IY K,blik,1.08,4
1771,bleary,B L IH R IY,blIri,0.04,5
1772,bleat,B L IY T,blit,0.12,4
1773,bleed,B L IY D,blid,10.1,4
1774,bleeding,B L IY D IH NG,blidIG,29.73,6
1775,bleep,B L IY P,blip,2.67,4
1776,blemish,B L EH M IH SH,blEmIS,0.59,6
1777,blend,B L EH N D,blEnd,4.27,5
1778,bless,B L EH S,blEs,35.06,4
1779,blessing,B L EH S IH NG,blEsIG,9.71,6
1780,blight,B L AY T,blYt,0.57,4
1781,blind,B L AY N D,blYnd,45.82,5
1782,blindfold,B L AY N D F OW L D,blYndfold,1.73,9
1783,blindness,B L AY N D N AH S,blYndnxs,1.31,8
1784,blink,B L IH NG K,blIGk,5.06,5
1785,blinker,B L IH NG K AH R,blIGkxr,0.24,7
1786,blip,B L IH P,blIp,0.8,4
1787,bliss,B L IH S,blIs,3.14,4
1788,blissful,B L IH S F AH L,blIsfxl,0.53,7
1789,blister,B L IH S T AH R,blIstxr,0.94,7
1790,blithe,B L AY TH,blYT,0.22,4
1791,blitz,B L IH T S,blIts,1.25,5
1792,blizzard,B L IH Z AH R D,blIzxrd,1.94,7
1793,bloat,B L OW T,blot,0.51,4
1794,blob,B L AA B,blab,1.18,4
1803,blockade,B L AA K EY D,blaked,1.53,6
1804,blockage,B L AA K IH JH,blakIJ,0.67,6
1805,blockhouse,B L AA K HH AW S,blakhWs,0.22,7
1806,blocky,B L AA K IY,blaki,0.02,5
1807,bloke,B L OW K,blok,4.67,4
1808,blonde,B L AA N D,bland,13.92,5
1809,blood,B L AH D,blxd,186.12,4
1810,bloodhound,B L AH D HH AW N D,blxdhWnd,0.98,8
1811,bloodiest,B L AH D IY AH S T,blxdixst,0.31,8
1812,bloodless,B L AH D L IH S,blxdlIs,0.08,7
1813,bloodlust,B L AH D L AH S T,blxdlxst,0.18,8
1814,bloodroot,B L AH D R UW T,blxdrut,0.12,7
1815,bloodshed,B L AH D SH EH D,blxdSEd,1.96,7
1816,bloodshot,B L AH D SH AA T,blxdSat,0.51,7
1817,bloodstain,B L AH D S T EY N,blxdsten,0.24,8
1818,bloodstained,B L AH D S T EY N D,blxdstend,0.31,9
1819,bloodstream,B L AH D S T R IY M,blxdstrim,1.73,9
1820,bloody,B L AH D IY,blxdi,38.47,5
1821,bloom,B L UW M,blum,5.51,4
1822,blooming,B L UW M IH NG,blumIG,1.59,6
1823,blossom,B L AA S AH M,blasxm,3.61,6
1824,blot,B L AA T,blat,0.94,4
1825,blouse,B L AW S,blWs,5.33,4
1826,blow,B L OW,blo,97.57,3
1827,blower,B L OW AH R,bloxr,0.33,5
1828,blowfish,B L OW F IH SH,blofIS,0.61,6
1829,blowing,B L OW IH NG,bloIG,18.06,5
1830,blowup,B L OW AH P,bloxp,0.29,5
1831,blubber,B L AH B AH R,blxbxr,0.84,6
1832,bludgeon,B L AH JH IH N,blxJIn,0.24,6
1833,blue,B L UW,blu,102.39,3
1834,blueberry,B L UW B EH R IY,blubEri,2.57,7
1835,bluebonnet,B L UW B AA N AH T,blubanxt,0.02,8
1836,bluefish,B L UW F IH SH,blufIS,0.16,6
1837,blueprint,B L UW P R IH N T,bluprInt,1.24,8
1838,bluff,B L AH F,blxf,6.22,4
1839,bluing,B L UW IH NG,bluIG,0.02,5
1840,bluish,B L UW IH SH,bluIS,0.14,5
1841,blunder,B L AH N D AH R,blxndxr,0.9,7
1842,blundering,B L AH N D AH R IH NG,blxndxrIG,0.69,9
1843,blunt,B L AH N T,blxnt,4.9,5
1844,bluntly,B L AH N T L IY,blxntli,0.49,7
1845,bluntness,B L AH N T N AH S,blxntnxs,0.22,8
1846,blur,B L AH R,blxr,2.14,4
1847,blurry,B L AH R IY,blxri,1.37,5
1848,blurt,B L AH R T,blxrt,0.49,5
1849,blush,B L AH SH,blxS,2.67,4
1850,bluster,B L AH S T AH R,blxstxr,0.2,7
1851,blustery,B L AH S T AH R IY,blxstxri,0.22,8
1852,boa,B OW AH,box,1.29,3
1857,board,B OW R D,bord,64.16,4
1858,boarder,B OW R D AH R,bordxr,0.57,6
1859,boarding,B OW R D IH NG,bordIG,11.06,6
1860,boardinghouse,B AO R D IH NG HH AW S,bcrdIGhWs,0.12,9
1861,boast,B OW S T,bost,1.06,4
1862,boasting,B OW S T IH NG,bostIG,0.65,6
1863,boat,B OW T,bot,95.78,3
1864,boatel,B OW T EH L,botEl,0.04,5
1865,boathouse,B OW T HH AW S,bothWs,0.76,6
1866,boating,B OW T IH NG,botIG,1.02,5
1867,boatload,B OW T L OW D,botlod,0.47,6
1868,boatman,B OW T M AH N,botmxn,0.59,6
1869,boatswain,B OW S AH N,bosxn,0.45,5
1870,boatyard,B OW T Y AA R D,botyard,0.25,7
1871,bob,B AA B,bab,91.49,3
1872,bobbin,B AA B IH N,babIn,0.14,5
1873,bobble,B AA B AH L,babxl,0.08,5
1874,bobby,B AA B IY,babi,69.55,4
1875,bode,B OW D,bod,0.47,3
1876,bodice,B AA D IH S,badIs,0.22,5
1877,bodied,B AA D IY D,badid,0.04,5
