Item,Pronunciation,Phonology,Frequency
cute,K Y UW T,kyut,87.75
cutest,K Y UW T IH S T,kyutIst,3.27
cutlass,K AH T L AH S,kxtlxs,0.51
cutlet,K AH T L AH T,kxtlxt,0.35
cutoff,K AH T AO F,kxtcf,0.59
cutout,K AH T AW T,kxtWt,0.29
cutter,K AH T AH R,kxtxr,4.69
cutthroat,K AH T TH R OW T,kxtTrot,0.82
cutting,K AH T IH NG,kxtIG,22.08
cycle,S AY K AH L,sYkxl,5.88
cyclical,S IH K L IH K AH L,sIklIkxl,0.16
cyclist,S AY K AH L AH S T,sYkxlxst,0.1
cylinder,S IH L IH N D AH R,sIlIndxr,1.57
cylindrical,S AH L IH N D R IH K AH L,sxlIndrIkxl,0.16
cynic,S IH N IH K,sInIk,1.1
cynical,S IH N IH K AH L,sInIkxl,3.67
cynicism,S IH N IH S IH Z AH M,sInIsIzxm,0.9
cypress,S AY P R IH S,sYprIs,0.75
cyst,S IH S T,sIst,0.43
cytoplasm,S AY T AH P L AE Z AH M,sYtxplAzxm,0.08
czar,Z AA R,zar,0.69
czarina,Z AA R IY N AH,zarinx,0.06
dab,D AE B,dAb,1.12
dabble,D AE B AH L,dAbxl,0.57
dactyl,D AE K T AH L,dAktxl,0.02
dad,D AE D,dAd,507.25
daddy,D AE D IY,dAdi,185.08
daffodil,D AE F IH D IH L,dAfIdIl,0.2
dagger,D AE G AH R,dAgxr,4.92
daily,D EY L IY,deli,15.63
dainty,D EY N T IY,denti,1.2
daiquiri,D AY K AH R IY,dYkxri,0.8
dairy,D EH R IY,dEri,2.78
dais,D EY AH S,dexs,0.27
daisy,D EY Z IY,dezi,13.51
dale,D EY L,del,9.08
dam,D AE M,dAm,5.75
dam,D AE M,dAm,5.75
dam,D AE M,dAm,5.75
dam,D AE M,dAm,5.75
damage,D AE M IH JH,dAmIJ,33.06
dame,D EY M,dem,13.76
damn,D AE M,dAm,283.53
damn,D AE M,dAm,283.53
damn,D AE M,dAm,283.53
damn,D AE M,dAm,283.53
damnation,D AE M N EY SH IH N,dAmneSIn,1.31
damp,D AE M P,dAmp,2.92
dampen,D AE M P AH N,dAmpxn,0.31
dampness,D AE M P N IH S,dAmpnIs,0.14
damsel,D AE M Z AH L,dAmzxl,0.88
dance,D AE N S,dAns,148.04
dancer,D AE N S AH R,dAnsxr,16.29
dancing,D AE N S IH NG,dAnsIG,54.39
dandelion,D AE N D AH L AY IH N,dAndxlYIn,0.29
dandy,D AE N D IY,dAndi,4.39
dang,D AE NG,dAG,4.24
danger,D EY N JH AH R,denJxr,43.67
dangerous,D EY N JH AH R IH S,denJxrIs,74.84
dangle,D AE NG G AH L,dAGgxl,1.33
dank,D AE NG K,dAGk,0.55
dapper,D AE P AH R,dApxr,0.55
dare,D AE R,dAr,55.41
daring,D AE R IH NG,dArIG,4.2
dark,D AA R K,dark,88.61
darken,D AA R K IH N,darkIn,0.39
darker,D AA R K AH R,darkxr,2.75
darkest,D AA R K AH S T,darkxst,2.82
darkling,D AA R K L IH NG,darklIG,0.1
darkness,D AA R K N IH S,darknIs,17.49
darling,D AA R L IH NG,darlIG,129.67
darn,D AA R N,darn,13.9
darned,D AA R N D,darnd,2.22
dart,D AA R T,dart,1.92
das,D AA S,das,1.49
dash,D AE SH,dAS,6.04
dash,D AE SH,dAS,6.04
dashboard,D AE SH B OW R D,dASbord,0.98
date,D EY T,det,141.53
dateline,D EY T L AY N,detlYn,0.33
daub,D AO B,dcb,0.08
daughter,D AO T AH R,dctxr,171.35
daunt,D AO N T,dcnt,0.04
dauntless,D AO N T L IH S,dcntlIs,0.14
dauphin,D AO F AH N,dcfxn,0.47
davenport,D AE V AH N P OW R T,dAvxnport,3.53
dawn,D AO N,dcn,25.51
day,D EY,de,801.82
daybed,D EY B EH D,debEd,0.02
daybreak,D EY B R EY K,debrek,1.37
daydream,D EY D R IY M,dedrim,0.96
daydreaming,D EY D R IY M IH NG,dedrimIG,1.1
daylight,D EY L AY T,delYt,9.57
daytime,D EY T AY M,detYm,3.78
daze,D EY Z,dez,0.55
dazzle,D AE Z AH L,dAzxl,1
de,D EH,dE,42.37
deacon,D IY K IH N,dikIn,2.86
deactivate,D IY AE K T IH V EY T,diAktIvet,1.14
dead,D EH D,dEd,448.98
deaden,D EH D AH N,dEdxn,0.16
deadhead,D EH D HH EH D,dEdhEd,0.2
deadliest,D EH D L IY AH S T,dEdlixst,0.53
deadline,D EH D L AY N,dEdlYn,5.86
deadliness,D EH D L IY N AH S,dEdlinxs,0.02
deadlock,D EH D L AA K,dEdlak,0.08
deadly,D EH D L IY,dEdli,9.88
deadweight,D EH D W EY T,dEdwet,0.1
deaf,D EH F,dEf,14.53
deafen,D EH F AH N,dEfxn,0.04
deal,D IY L,dil,261.37
dealer,D IY L AH R,dilxr,16.29
dealership,D IY L AH R SH IH P,dilxrSIp,1.29
dealing,D IY L IH NG,dilIG,28.24
dean,D IY N,din,38.71
dear,D IH R,dIr,223.43
dear,D IH R,dIr,223.43
dear,D IH R,dIr,223.43
dear,D IH R,dIr,223.43
dearer,D IY R AH R,dirxr,0.25
dearest,D IH R AH S T,dIrxst,7.1
dearth,D AH R TH,dxrT,0.1
death,D EH TH,dET,216.69
deathbed,D EH TH B EH D,dETbEd,1.33
deathly,D EH TH L IY,dETli,0.55
deb,D EH B,dEb,7.98
debacle,D IH B AA K AH L,dIbakxl,0.67
debatable,D IH B EY T AH B AH L,dIbetxbxl,0.45
debate,D IH B EY T,dIbet,9.29
debating,D AH B EY T IH NG,dxbetIG,1.63
debauchery,D IH B AO CH AH R IY,dIbcCxri,0.45
debenture,D AH B EH N CH AH R,dxbEnCxr,0.02
debilitating,D AH B IH L AH T EY T IH NG,dxbIlxtetIG,0.57
debonair,D EH B IH N AE R,dEbInAr,0.33
debris,D AH B R IY,dxbri,3.12
debt,D EH T,dEt,14.22
debunk,D IY B AH NG K,dibxGk,0.12
debunking,D IH B AH NG K IH NG,dIbxGkIG,0.04
debut,D EY B Y UW,debyu,2.59
debutante,D EH B Y UH T AA N T,dEbyUtant,1.33
decade,D EH K EY D,dEked,4.84
decadence,D EH K IH D IH N S,dEkIdIns,0.57
decadent,D EH K AH D AH N T,dEkxdxnt,1.18
decathlon,D IH K AE TH L AA N,dIkATlan,0.39
decay,D AH K EY,dxke,2.06
deceased,D IH S IY S T,dIsist,6.29
decedent,D IH S IY D AH N T,dIsidxnt,0.45
deceit,D IH S IY T,dIsit,1.86
deceitful,D IH S IY T F AH L,dIsitfxl,1.14
deceive,D IH S IY V,dIsiv,3.41
decelerate,D IY S EH L AH R EY T,disElxret,0.08
deceleration,D IH S EH L AH R EY SH AH N,dIsElxreSxn,0.12
decency,D IY S AH N S IY,disxnsi,4.63
decent,D IY S AH N T,disxnt,28.1
decentralization,D IY S EH N T R AH L IH Z EY SH IH N,disEntrxlIzeSIn,0.02
deception,D IH S EH P SH IH N,dIsEpSIn,3.14
deceptive,D IH S EH P T IH V,dIsEptIv,0.51
decide,D IH S AY D,dIsYd,50.41
decimal,D EH S AH M AH L,dEsxmxl,0.82
decimal,D EH S AH M AH L,dEsxmxl,0.82
decision,D IH S IH ZH IH N,dIsIZIn,55.06
decisive,D IH S AY S IH V,dIsYsIv,1.29
decisiveness,D IH S AY S IH V N EH S,dIsYsIvnEs,0.02
deck,D EH K,dEk,23.76
decking,D EH K IH NG,dEkIG,0.08
declaim,D IH K L EY M,dIklem,0.02
declaration,D EH K L AH R EY SH IH N,dEklxreSIn,3.53
declare,D AH K L AE R,dxklAr,7.57
declination,D EH K L IH N EY SH IH N,dEklIneSIn,0.1
decline,D AH K L AY N,dxklYn,2.98
decolletage,D EY K AA L T AA ZH,dekaltaZ,0.02
decompose,D IY K AH M P OW Z,dikxmpoz,0.47
decomposition,D IH K AA M P AH Z IH SH IH N,dIkampxzISIn,0.51
decompression,D IY K AH M P R EH SH AH N,dikxmprESxn,0.55
decor,D EY K AO R,dekcr,1.02
decorate,D EH K AH R EY T,dEkxret,2.31
decoration,D EH K AH R EY SH IH N,dEkxreSIn,1.84
decorative,D EH K AH R IH T IH V,dEkxrItIv,0.86
decorator,D EH K AH R EY T AH R,dEkxretxr,2.1
decorous,D EH K AH R AH S,dEkxrxs,0.04
decorum,D IH K OW R AH M,dIkorxm,0.82
decrease,D IY K R IY S,dikris,1.18
decree,D AH K R IY,dxkri,1.92
dedicate,D EH D IH K IH T,dEdIkIt,2.43
dedication,D EH D IH K EY SH IH N,dEdIkeSIn,3.39
deduce,D IH D UW S,dIdus,0.57
deduct,D IH D AH K T,dIdxkt,1.08
deductible,D IH D AH K T AH B AH L,dIdxktxbxl,0.9
deduction,D IH D AH K SH AH N,dIdxkSxn,1.71
deductive,D IH D AH K T IH V,dIdxktIv,0.35
deed,D IY D,did,9.31
deem,D IY M,dim,0.59
deem,D IY M,dim,0.59
deem,D IY M,dim,0.59
deem,D IY M,dim,0.59
deep,D IY P,dip,76.39
deepen,D IY P AH N,dipxn,0.25
deepening,D IY P N IH NG,dipnIG,0.22
deeper,D IY P AH R,dipxr,12.63
deepest,D IY P AH S T,dipxst,4.82
deeply,D IY P L IY,dipli,14.43
deer,D IH R,dIr,8.71
deer,D IH R,dIr,8.71
deer,D IH R,dIr,8.71
deer,D IH R,dIr,8.71
deerskin,D IH R S K IH N,dIrskIn,0.02
defacing,D IH F EY S IH NG,dIfesIG,0.2
default,D IH F AO L T,dIfclt,1
defeat,D AH F IY T,dxfit,11.37
defeatism,D IH F IY T IH Z AH M,dIfitIzxm,0.06
defeatist,D IH F IY T IH S T,dIfitIst,0.41
defecate,D EH F IH K EY T,dEfIket,0.29
defect,D IY F EH K T,difEkt,2.47
defection,D IH F EH K SH AH N,dIfEkSxn,0.37
defective,D IH F EH K T IH V,dIfEktIv,2.16
defend,D AH F EH N D,dxfEnd,18.8
defendant,D IH F EH N D AH N T,dIfEndxnt,17.73
defender,D IH F EH N D AH R,dIfEndxr,2.98
defense,D AH F EH N S,dxfEns,32.65
defenseless,D IH F EH N S L AH S,dIfEnslxs,1.33
defensible,D IH F EH N S AH B AH L,dIfEnsxbxl,0.24
defensive,D IH F EH N S IH V,dIfEnsIv,5.45
defensiveness,D IH F EH N S IH V N AH S,dIfEnsIvnxs,0.02
defer,D IH F AH R,dIfxr,0.59
defer,D IH F AH R,dIfxr,0.59
defer,D IH F AH R,dIfxr,0.59
defer,D IH F AH R,dIfxr,0.59
deference,D EH F AH R AH N S,dEfxrxns,0.37
deferment,D IH F AH R M AH N T,dIfxrmxnt,0.14
defiance,D IH F AY AH N S,dIfYxns,1.12
defiant,D IH F AY AH N T,dIfYxnt,0.92
deficiency,D IH F IH SH AH N S IY,dIfISxnsi,1.04
deficient,D IH F IH SH IH N T,dIfISInt,0.55
deficit,D EH F AH S IH T,dEfxsIt,1.08
define,D IH F AY N,dIfYn,6.24
definite,D EH F AH N IH T,dEfxnIt,6.16
definition,D EH F AH N IH SH IH N,dEfxnISIn,5.8
definitive,D IH F IH N IH T IH V,dIfInItIv,1.94
deflate,D IH F L EY T,dIflet,0.25
deformation,D IY F AO R M EY SH IH N,difcrmeSIn,0.06
deformity,D IH F AO R M AH T IY,dIfcrmxti,0.41
defraud,D IH F R AO D,dIfrcd,0.37
defray,D IH F R EY,dIfre,0.08
defrost,D IH F R AO S T,dIfrcst,0.41
deft,D EH F T,dEft,0.39
deftness,D EH F T N AH S,dEftnxs,0.02
defunct,D IH F AH NG K T,dIfxGkt,0.33
defy,D IH F AY,dIfY,3.1
degas,D EY G AH,degx,0.75
degenerate,D IH JH EH N AH R EY T,dIJEnxret,1.82
degeneration,D IH JH EH N AH R EY SH AH N,dIJEnxreSxn,0.39
degradation,D EH G R AH D EY SH IH N,dEgrxdeSIn,0.76
degrade,D IH G R EY D,dIgred,0.67
degree,D AH G R IY,dxgri,14.88
dehydrate,D IY HH AY D R EY T,dihYdret,0.12
dehydration,D IY HH AY D R EY SH IH N,dihYdreSIn,0.78
deign,D EY N,den,0.31
deity,D IY AH T IY,dixti,0.55
del,D EH L,dEl,8.57
del,D EH L,dEl,8.57
del,D EH L,dEl,8.57
del,D EH L,dEl,8.57
delay,D AH L EY,dxle,11.02
delectation,D IY L EH K T EY SH IH N,dilEkteSIn,0.06
delegate,D EH L AH G EY T,dElxget,1.43
delegation,D EH L IH G EY SH IH N,dElIgeSIn,1.37
deliberate,D AH L IH B AH R EY T,dxlIbxret,2.84
deliberation,D IH L IH B AH R EY SH AH N,dIlIbxreSxn,0.39
delicacy,D EH L IH K IH S IY,dElIkIsi,1.39
delicate,D EH L AH K IH T,dElxkIt,9.51
delicious,D AH L IH SH IH S,dxlISIs,21.53
delight,D IH L AY T,dIlYt,5.65
delightful,D IH L AY T F AH L,dIlYtfxl,9.2
delightfully,D IH L AY T F AH L L IY,dIlYtfxlli,0.55
delineate,D AH L IH N IY EY T,dxlIniet,0.02
delineation,D IH L IH N IY EY SH AH N,dIlInieSxn,0.02
delinquency,D AH L IH NG K W AH N S IY,dxlIGkwxnsi,0.45
delinquent,D IH L IH NG K W AH N T,dIlIGkwxnt,1.39
delirium,D AH L IH R IY AH M,dxlIrixm,0.71
deliver,D AH L IH V AH R,dxlIvxr,28.35
deliverance,D IH L IH V AH R AH N S,dIlIvxrxns,0.59
delivery,D IH L IH V AH R IY,dIlIvxri,19.94
dell,D EH L,dEl,2.43
dell,D EH L,dEl,2.43
dell,D EH L,dEl,2.43
dell,D EH L,dEl,2.43
della,D EH L AH,dElx,2.33
delouse,D IY L AW S,dilWs,0.08
delta,D EH L T AH,dEltx,8.33
deltoid,D EH L T OY D,dEltOd,0.12
delude,D AH L UW D,dxlud,0.43
deluge,D EH L Y UW JH,dElyuJ,0.39
delusion,D AH L UW ZH IH N,dxluZIn,2.71
deluxe,D AH L AH K S,dxlxks,1.92
delve,D EH L V,dElv,0.27
demagogue,D EH M AH G AA G,dEmxgag,0.06
demand,D AH M AE N D,dxmAnd,17.12
demanding,D IH M AE N D IH NG,dImAndIG,4.25
demarcation,D IY M AA R K EY SH IH N,dimarkeSIn,0.1
demean,D IH M IY N,dImin,0.35
demeanor,D IH M IY N AH R,dIminxr,1.06
dement,D AH M EH N T,dxmEnt,0.02
demineralization,D IY M IH N AH R AH L AH Z EY SH AH N,dimInxrxlxzeSxn,0.02
demise,D AH M AY Z,dxmYz,1.71
democracy,D AH M AA K R IH S IY,dxmakrIsi,6.61
democratic,D EH M AH K R AE T IH K,dEmxkrAtIk,3.55
democratize,D AH M AA K R AH T AY Z,dxmakrxtYz,0.02
demographic,D EH M AH G R AE F IH K,dEmxgrAfIk,0.86
demolish,D AH M AA L IH SH,dxmalIS,0.53
demolition,D EH M AH L IH SH IH N,dEmxlISIn,2.82
demon,D IY M AH N,dimxn,31.24
demoniac,D IH M OW N IY AE K,dImoniAk,0.02
demonstrable,D AH M AA N S T R AH B AH L,dxmanstrxbxl,0.1
demonstrate,D EH M AH N S T R EY T,dEmxnstret,4.67
demonstration,D EH M AH N S T R EY SH IH N,dEmxnstreSIn,7.18
demonstrative,D AH M AA N S T R AH T IH V,dxmanstrxtIv,0.35
demonstrator,D EH M AH N S T R EY T AH R,dEmxnstretxr,0.16
demoralization,D IH M AO R AH L IH Z EY SH AH N,dImcrxlIzeSxn,0.02
demoralize,D AH M AO R AH L AY Z,dxmcrxlYz,0.06
demote,D IH M OW T,dImot,0.04
demur,D IH M AH R,dImxr,0.02
demure,D IH M Y UH R,dImyUr,0.39
demurrer,D IH M AH R AH R,dImxrxr,0.08
den,D EH N,dEn,6.12
denial,D IH N AY AH L,dInYxl,5.25
denomination,D IH N AA M AH N EY SH AH N,dInamxneSxn,0.35
denominational,D IH N AA M AH N EY SH AH N AH L,dInamxneSxnxl,0.02
denominator,D IH N AA M AH N EY T AH R,dInamxnetxr,0.55
denote,D IH N OW T,dInot,0.08
denouement,D EY N UW M AA N,denuman,0.18
denounce,D IH N AW N S,dInWns,0.86
dense,D EH N S,dEns,2.12
densest,D EH N S AH S T,dEnsxst,0.06
density,D EH N S IH T IY,dEnsIti,1.43
dent,D EH N T,dEnt,3.53
dental,D EH N T AH L,dEntxl,6.18
dentist,D EH N T IH S T,dEntIst,11.2
dentistry,D EH N T IH S T R IY,dEntIstri,0.37
denture,D EH N CH AH R,dEnCxr,0.2
deny,D IH N AY,dInY,21.39
denying,D IH N AY IH NG,dInYIG,4.04
deodorant,D IY OW D AH R AH N T,diodxrxnt,1.61
depart,D AH P AA R T,dxpart,2.14
department,D IH P AA R T M AH N T,dIpartmxnt,63.84
departmental,D AH P AA R T M EH N T AH L,dxpartmEntxl,0.82
departure,D AH P AA R CH AH R,dxparCxr,5.39
depend,D AH P EH N D,dxpEnd,9.88
dependable,D IH P EH N D AH B AH L,dIpEndxbxl,1.67
dependence,D IH P EH N D AH N S,dIpEndxns,0.41
dependency,D IH P EH N D AH N S IY,dIpEndxnsi,0.51
dependent,D IH P EH N D AH N T,dIpEndxnt,2.24
depending,D IH P EH N D IH NG,dIpEndIG,6
depict,D IH P IH K T,dIpIkt,0.53
depiction,D IH P IH K SH AH N,dIpIkSxn,0.31
depletion,D IH P L IY SH AH N,dIpliSxn,0.25
deplorable,D IH P L OW R AH B AH L,dIplorxbxl,0.92
deplore,D IH P L OW R,dIplor,0.24
deploy,D IH P L OY,dIplO,2.65
deployment,D IH P L OY M AH N T,dIplOmxnt,1.25
deport,D IH P OW R T,dIport,0.78
depose,D IH P OW Z,dIpoz,0.41
deposit,D IH P AA Z IH T,dIpazIt,10.8
deposition,D EH P AH Z IH SH IH N,dEpxzISIn,3
depositor,D AH P AA Z IH T AH R,dxpazItxr,0.1
depot,D IY P OW,dipo,2.94
deprave,D IH P R EY V,dIprev,0.06
depravity,D IH P R AE V IH T IY,dIprAvIti,0.67
depreciation,D IH P R IY SH IY EY SH AH N,dIpriSieSxn,0.35
depredation,D EH P R AH D EY SH IH N,dEprxdeSIn,0.04
depress,D IH P R EH S,dIprEs,0.71
depressant,D IH P R EH S AH N T,dIprEsxnt,0.1
depressing,D IH P R EH S IH NG,dIprEsIG,6.35
depression,D IH P R EH SH AH N,dIprESxn,7.96
deprivation,D EH P R AH V EY SH IH N,dEprxveSIn,0.78
deprive,D IH P R AY V,dIprYv,1.31
depth,D EH P TH,dEpT,8.25
deputize,D EH P Y UH T AY Z,dEpyUtYz,0.35
deputy,D EH P Y UW T IY,dEpyuti,15.65
der,D AH R,dxr,3
derail,D IH R EY L,dIrel,0.57
derangement,D IH R EY N JH M AH N T,dIrenJmxnt,0.14
derby,D AH R B IY,dxrbi,2.2
derelict,D EH R AH L IH K T,dErxlIkt,0.78
dereliction,D EH R AH L IH K SH IH N,dErxlIkSIn,0.25
derision,D IH R IH ZH AH N,dIrIZxn,0.16
derivation,D EH R AH V EY SH IH N,dErxveSIn,0.25
derivative,D IH R IH V AH T IH V,dIrIvxtIv,0.76
derive,D AH R AY V,dxrYv,0.69
derogatory,D IH R AA G IH T OW R IY,dIragItori,0.61
derrick,D EH R IH K,dErIk,1.33
derriere,D EH R IY EH R,dEriEr,0.33
dervish,D AH R V IH SH,dxrvIS,0.27
des,D IH,dI,3.96
descend,D IH S EH N D,dIsEnd,1.92
descendant,D IH S EH N D AH N T,dIsEndxnt,1.08
descent,D IH S EH N T,dIsEnt,2.59
descent,D IH S EH N T,dIsEnt,2.59
descent,D IH S EH N T,dIsEnt,2.59
descent,D IH S EH N T,dIsEnt,2.59
describe,D IH S K R AY B,dIskrYb,16.98
description,D IH S K R IH P SH AH N,dIskrIpSxn,12.65
descriptive,D IH S K R IH P T IH V,dIskrIptIv,0.39
desecrate,D EH S IH K R EY T,dEsIkret,0.39
desecration,D EH S IH K R EY SH IH N,dEsIkreSIn,0.45
desegregate,D IH S EH G R IH G EY T,dIsEgrIget,0.02
desegregation,D IY S EH G R AH G EY SH AH N,disEgrxgeSxn,0.04
desensitize,D IH S EH N S AH T AY Z,dIsEnsxtYz,0.08
desert,D IH Z AH R T,dIzxrt,27.98
desert,D IH Z AH R T,dIzxrt,27.98
desert,D IH Z AH R T,dIzxrt,27.98
desert,D IH Z AH R T,dIzxrt,27.98
desertion,D IH Z AH R SH AH N,dIzxrSxn,0.75
deserve,D IH Z AH R V,dIzxrv,43.73
deserving,D IH Z AH R V IH NG,dIzxrvIG,0.98
design,D IH Z AY N,dIzYn,16.2
designate,D EH Z IH G N EY T,dEzIgnet,0.61
designation,D EH Z IH G N EY SH IH N,dEzIgneSIn,0.22
designer,D IH Z AY N AH R,dIzYnxr,5.24
designing,D IH Z AY N IH NG,dIzYnIG,1.55
desirability,D IH Z AY R AH B IH L IH T IY,dIzYrxbIlIti,0.1
desirable,D IH Z AY R AH B AH L,dIzYrxbxl,1.94
desire,D IH Z AY R,dIzYr,20.27
desirous,D IH Z AY R IH S,dIzYrIs,0.24
desk,D EH S K,dEsk,43.9
desolate,D EH S AH L IH T,dEsxlIt,0.98
desolation,D EH S AH L EY SH IH N,dEsxleSIn,0.61
despair,D IH S P AE R,dIspAr,5.86
despairing,D IH S P AE R IH NG,dIspArIG,0.2
desperado,D EH S P AH R AA D OW,dEspxrado,0.43
desperate,D EH S P AH R AH T,dEspxrxt,25.69
desperately,D EH S P AH R IH T L IY,dEspxrItli,5.82
desperation,D EH S P AH R EY SH IH N,dEspxreSIn,3.02
despise,D IH S P AY Z,dIspYz,4.51
despite,D IH S P AY T,dIspYt,13
despoil,D IY S P OY L,dispOl,0.04
despondency,D IH S P AA N D AH N S IY,dIspandxnsi,0.06
despondent,D IH S P AA N D AH N T,dIspandxnt,0.47
despot,D EH S P AH T,dEspxt,0.22
despotism,D EH S P AH T IH Z AH M,dEspxtIzxm,0.06
dessert,D IH Z AH R T,dIzxrt,14.02
dessert,D IH Z AH R T,dIzxrt,14.02
dessert,D IH Z AH R T,dIzxrt,14.02
dessert,D IH Z AH R T,dIzxrt,14.02
destination,D EH S T IH N EY SH IH N,dEstIneSIn,5.88
destine,D EH S T IH N,dEstIn,0.02
destiny,D EH S T IH N IY,dEstIni,23.04
destitute,D EH S T IH T UW T,dEstItut,0.71
destroy,D IH S T R OY,dIstrO,47.18
destroyer,D IH S T R OY AH R,dIstrOxr,3.63
destruction,D IH S T R AH K SH AH N,dIstrxkSxn,11.51
destructive,D IH S T R AH K T IH V,dIstrxktIv,2.39
desultory,D EH S AH L T OW R IY,dEsxltori,0.04
detach,D IH T AE CH,dItAC,0.67
detachable,D IY T AE CH AH B AH L,ditACxbxl,0.18
detachment,D IH T AE CH M AH N T,dItACmxnt,1.27
detail,D IY T EY L,ditel,19.39
detain,D IH T EY N,dIten,1.82
detect,D IH T EH K T,dItEkt,5.12
detectable,D IH T EH K T AH B AH L,dItEktxbxl,0.27
detection,D IH T EH K SH AH N,dItEkSxn,1.67
detective,D IH T EH K T IH V,dItEktIv,61.12
detector,D IH T EH K T AH R,dItEktxr,3.25
detente,D EY T AA N T,detant,0.06
detention,D IH T EH N CH IH N,dItEnCIn,6.53
deter,D IH T AH R,dItxr,0.39
detergent,D IH T AH R JH AH N T,dItxrJxnt,1.02
deteriorate,D IH T IH R AH AH R EY T,dItIrxxret,0.53
deterioration,D IH T IH R IY AH R EY SH AH N,dItIrixreSxn,0.51
determinate,D IH T AH R M AH N EY T,dItxrmxnet,0.02
determination,D IH T AH R M AH N EY SH IH N,dItxrmxneSIn,2.78
determinative,D IH T AH R M AH N EY T IH V,dItxrmxnetIv,0.02
determine,D IH T AH R M AH N,dItxrmxn,8.39
determinedly,D IH T AH R M IH N D L IY,dItxrmIndli,0.02
determinism,D IH T AH R M AH N IH Z AH M,dItxrmxnIzxm,0.02
deterministic,D IH T AH R M AH N IH S T IH K,dItxrmxnIstIk,0.12
deterrence,D IH T AH R AH N S,dItxrxns,0.04
deterrent,D IH T AH R AH N T,dItxrxnt,0.43
detest,D IH T EH S T,dItEst,1.43
detestable,D IH T EH S T AH B AH L,dItEstxbxl,0.2
detonate,D EH T AH N EY T,dEtxnet,2.08
detonation,D EH T AH N EY SH IH N,dEtxneSIn,1.82
detour,D IY T UH R,ditUr,2.1
detract,D IH T R AE K T,dItrAkt,0.14
detriment,D EH T R AH M AH N T,dEtrxmxnt,0.51
detrimental,D EH T R AH M EH N T AH L,dEtrxmEntxl,0.37
deux,D UW,du,0.78
deux,D UW,du,0.78
deux,D UW,du,0.78
deux,D UW,du,0.78
deux,D UW,du,0.78
deux,D UW,du,0.78
deux,D UW,du,0.78
deux,D UW,du,0.78
deux,D UW,du,0.78
deux,D UW,du,0.78
deux,D UW,du,0.78
deux,D UW,du,0.78
deux,D UW,du,0.78
deux,D UW,du,0.78
deux,D UW,du,0.78
deux,D UW,du,0.78
deux,D UW,du,0.78
deux,D UW,du,0.78
deux,D UW,du,0.78
deux,D UW,du,0.78
deux,D UW,du,0.78
deux,D UW,du,0.78
deux,D UW,du,0.78
deux,D UW,du,0.78
deux,D UW,du,0.78
devastate,D EH V AH S T EY T,dEvxstet,0.37
devastation,D EH V AH S T EY SH IH N,dEvxsteSIn,0.96
develop,D AH V EH L AH P,dxvElxp,9.61
developer,D IH V EH L AH P AH R,dIvElxpxr,0.9
development,D IH V EH L AH P M AH N T,dIvElxpmxnt,12.25
developmental,D IH V EH L AH P M EH N AH L,dIvElxpmEnxl,0.37
deviance,D IY V IY AH N S,divixns,0.06
deviant,D IY V IY AH N T,divixnt,1.06
deviate,D IY V IY EY T,diviet,0.75
deviation,D IY V IY EY SH IH N,divieSIn,0.73
device,D AH V AY S,dxvYs,18.16
devil,D EH V AH L,dEvxl,41.33
devilish,D EH V AH L IH SH,dEvxlIS,0.51
devious,D IY V IY AH S,divixs,1.75
devise,D AH V AY Z,dxvYz,0.63
devoid,D AH V OY D,dxvOd,0.71
devote,D AH V OW T,dxvot,1.96
devotee,D EH V AH T IY,dEvxti,0.14
devotion,D AH V OW SH IH N,dxvoSIn,4.14
devotional,D IH V OW SH AH N AH L,dIvoSxnxl,0.04
devour,D AH V AW R,dxvWr,1.06
devout,D IH V AW T,dIvWt,0.75
dew,D UW,du,2.14
dew,D UW,du,2.14
dew,D UW,du,2.14
dew,D UW,du,2.14
dew,D UW,du,2.14
dew,D UW,du,2.14
dew,D UW,du,2.14
dew,D UW,du,2.14
dew,D UW,du,2.14
dew,D UW,du,2.14
dew,D UW,du,2.14
dew,D UW,du,2.14
dew,D UW,du,2.14
dew,D UW,du,2.14
dew,D UW,du,2.14
dew,D UW,du,2.14
dew,D UW,du,2.14
dew,D UW,du,2.14
dew,D UW,du,2.14
dew,D UW,du,2.14
dew,D UW,du,2.14
dew,D UW,du,2.14
dew,D UW,du,2.14
dew,D UW,du,2.14
dew,D UW,du,2.14
dewar,D UW AH R,duxr,0.22
dewdrop,D UW D R AA P,dudrap,0.16
dexamethasone,D EH K S AH M EH TH AH S OW N,dEksxmETxson,0.02
dexterity,D EH K S T EH R AH T IY,dEkstErxti,0.41
di,D AY,dY,3.69
di,D AY,dY,3.69
di,D AY,dY,3.69
di,D AY,dY,3.69
di,D AY,dY,3.69
di,D AY,dY,3.69
di,D AY,dY,3.69
di,D AY,dY,3.69
di,D AY,dY,3.69
diabetes,D AY AH B IY T IY Z,dYxbitiz,3.25
diabetic,D AY AH B EH T IH K,dYxbEtIk,2.22
diabolical,D AY AH B AA L IH K AH L,dYxbalIkxl,1.08
diagnose,D AY IH G N OW S,dYIgnos,1.04
diagnosing,D AY AH G N OW S IH NG,dYxgnosIG,0.2
diagnosis,D AY IH G N OW S IH S,dYIgnosIs,4.29
diagnostic,D AY IH G N AA S T IH K,dYIgnastIk,1.41
diagonal,D AY AE G IH N AH L,dYAgInxl,0.53
diagram,D AY AH G R AE M,dYxgrAm,1.27
dial,D AY L,dYl,8.86
